match_id,account_id,hero_id,kills,deaths,assists,last_hits,xp_per_min,gold_per_min,team_id
6806481932,111030315,107,2,2,20,26,532,284,1838315
6806481932,127617979,28,8,0,8,129,640,516,1838315
6806481932,86725175,52,7,1,6,148,614,556,1838315
6806481932,121769650,35,15,1,8,158,669,690,1838315
6806454246,127565532,64,1,8,7,22,252,199,8605863
6806454246,96803083,52,3,5,4,239,585,434,8605863
6806454246,331855530,89,4,4,2,409,539,644,8605863
6806454246,140288368,61,2,6,5,187,448,397,8605863
6806454246,196878136,18,1,4,7,42,311,204,8605863
6806454246,113331514,58,2,4,12,102,424,316,7119388
6806454246,321580662,41,5,0,8,346,882,712,7119388
6806454246,431770905,74,15,0,10,343,845,741,7119388
6806454246,256156323,136,0,4,20,37,412,213,7119388
6806454246,302214028,129,5,3,15,296,563,478,7119388
6806403033,87278757,66,0,4,15,68,403,276,1838315
6806403033,111030315,107,8,7,12,45,599,353,1838315
6806403033,127617979,28,7,5,6,173,687,476,1838315
6806403033,86725175,52,3,6,12,235,647,535,1838315
6806403033,121769650,10,9,5,6,296,741,653,1838315
6806403033,292921272,96,8,3,12,231,560,462,8254400
6806403033,153836240,13,9,4,7,232,678,532,8254400
6806403033,119631156,58,3,7,9,102,413,323,8254400
6806403033,164685175,4,4,4,8,327,671,565,8254400
6806403033,157989498,128,2,9,17,65,376,266,8254400
6806374409,54580962,75,5,9,21,101,481,306,2163
6806374409,73562326,137,9,9,17,356,667,505,2163
6806374409,152962063,13,10,5,17,769,784,768,2163
6806374409,77490514,88,0,12,15,61,463,245,2163
6806374409,72312627,89,10,5,9,1009,568,908,2163
6806374409,86799300,128,4,12,14,203,495,411,7390454
6806374409,221666230,120,15,5,14,566,819,731,7390454
6806374409,87063175,61,3,6,12,398,702,452,7390454
6806374409,108452107,10,13,3,10,513,781,680,7390454
6806374409,86726887,71,3,9,33,142,566,367,7390454
6806377510,117421467,31,3,15,19,90,460,292,8721219
6806377510,195108598,137,10,7,17,260,667,474,8721219
6806377510,159020918,32,7,9,19,57,495,288,8721219
6806377510,106305042,22,10,7,20,348,642,569,8721219
6806377510,177411785,80,7,5,8,370,669,538,8721219
6806377510,206642367,1,7,6,13,471,927,700,6209804
6806377510,106863163,52,22,5,12,439,887,808,6209804
6806377510,94738847,96,6,5,29,198,720,437,6209804
6806377510,139876032,136,3,13,25,56,589,299,6209804
6806377510,94296097,79,5,9,12,18,420,323,6209804
6806364123,127565532,75,5,8,10,36,321,229,8605863
6806364123,96803083,74,6,6,2,310,669,570,8605863
6806364123,331855530,14,4,6,15,329,599,552,8605863
6806364123,140288368,92,4,8,7,161,439,356,8605863
6806364123,196878136,18,0,3,12,55,369,202,8605863
6806364123,113331514,58,5,5,13,114,477,415,7119388
6806364123,321580662,54,13,3,6,345,836,717,7119388
6806364123,431770905,120,10,3,15,335,908,703,7119388
6806364123,256156323,88,0,5,20,28,485,271,7119388
6806364123,302214028,38,2,3,20,255,601,520,7119388
6806365638,183719386,15,8,3,15,285,773,577,2586976
6806365638,90125566,128,1,10,20,35,432,284,2586976
6806365638,93618577,65,6,4,15,266,777,525,2586976
6806365638,167976729,89,8,2,13,492,722,817,2586976
6806365638,401792574,103,4,4,20,65,550,343,2586976
6806365638,91730177,87,1,6,18,33,412,282,8599101
6806365638,116934015,10,9,7,8,284,605,559,8599101
6806365638,97590558,33,4,6,15,195,516,435,8599101
6806365638,190826739,52,8,5,11,293,667,570,8599101
6806365638,16497807,137,0,3,17,80,581,293,8599101
6806094304,86799300,87,0,6,4,24,229,191,7390454
6806094304,221666230,25,2,3,2,237,457,470,7390454
6806094304,87063175,129,0,4,1,116,315,306,7390454
6806094304,108452107,93,1,1,1,182,530,449,7390454
6806094304,86726887,100,2,6,3,40,222,178,7390454
6806094304,86745912,109,2,1,9,226,523,596,39
6806094304,154715080,74,6,1,11,96,488,454,39
6806094304,124801257,61,5,1,8,173,530,578,39
6806094304,94155156,85,4,2,13,24,310,296,39
6806094304,25907144,86,2,0,14,30,393,289,39
6806047539,86745912,6,8,1,9,301,773,653,39
6806047539,154715080,137,6,2,13,212,667,516,39
6806047539,124801257,38,5,0,12,289,648,621,39
6806047539,94155156,85,0,0,15,22,367,248,39
6806047539,25907144,9,2,3,15,79,472,307,39
6806047539,86799300,3,0,6,2,41,237,186,7390454
6806047539,221666230,52,2,5,3,312,539,553,7390454
6806047539,87063175,97,1,3,1,149,331,318,7390454
6806047539,108452107,8,0,3,2,282,600,567,7390454
6806047539,86726887,136,3,4,2,56,344,223,7390454
6806322784,100594231,58,1,7,2,59,224,199,7732977
6806322784,155494381,128,6,9,6,66,398,249,7732977
6806322784,324277900,129,1,4,6,262,455,430,7732977
6806322784,156328257,97,3,10,7,228,455,372,7732977
6806322784,392565237,109,3,5,6,494,543,621,7732977
6806322784,125995177,87,3,3,20,28,444,295,8131728
6806322784,131303632,13,13,0,15,347,812,647,8131728
6806322784,138177198,98,9,1,15,314,742,610,8131728
6806322784,105045291,88,2,6,20,36,439,265,8131728
6806322784,191290281,11,8,4,16,471,824,754,8131728
6806278486,206642367,89,12,2,9,682,660,873,6209804
6806278486,106863163,13,6,6,12,396,667,587,6209804
6806278486,94738847,29,5,5,16,274,644,465,6209804
6806278486,139876032,7,3,6,13,84,505,297,6209804
6806278486,94296097,31,1,8,20,73,484,318,6209804
6806278486,117421467,101,3,7,18,32,421,276,8721219
6806278486,195108598,38,2,3,19,447,657,580,8721219
6806278486,159020918,136,6,8,8,138,513,327,8721219
6806278486,106305042,35,12,3,9,490,792,691,8721219
6806278486,177411785,65,4,6,14,274,602,418,8721219
6806282981,86799300,128,5,4,23,165,590,394,7390454
6806282981,221666230,52,12,3,21,522,837,773,7390454
6806282981,87063175,97,3,1,21,225,660,392,7390454
6806282981,108452107,114,15,2,18,362,778,637,7390454
6806282981,86726887,19,5,7,16,85,601,302,7390454
6806282981,54580962,30,7,11,5,73,396,279,2163
6806282981,73562326,96,2,8,7,223,532,369,2163
6806282981,152962063,10,6,6,5,395,643,525,2163
6806282981,77490514,51,2,10,13,53,314,228,2163
6806282981,72312627,77,0,5,12,350,483,454,2163
6806282012,898754153,93,5,11,6,364,635,523,15
6806282012,173978074,13,3,8,6,521,734,679,15
6806282012,118134220,69,4,9,9,210,638,569,15
6806282012,157475523,137,4,12,10,212,593,411,15
6806282012,111114687,31,1,10,12,92,426,359,15
6806282012,86745912,41,11,5,11,351,725,669,39
6806282012,154715080,106,10,4,23,367,751,624,39
6806282012,124801257,33,4,3,28,339,678,545,39
6806282012,94155156,58,12,2,22,116,614,415,39
6806282012,25907144,136,12,5,20,54,589,344,39
6806291706,91730177,135,1,11,7,81,315,273,8599101
