account_id,personaname,name,team_id,team_name,team_tag,avg_kills,max_kills,avg_deaths,min_deaths,avg_assists,max_assists,avg_last_hits,max_last_hits,avg_xp_per_min,avg_gold_per_min,max_gold_per_min,unique_heroes
302214028,SEA RANKED WARRIOR,CoLLapse,7119388,Team Spirit,TSpirit,4.105263157894737,8.0,4.578947368421052,1.0,9.31578947368421,20.0,242.78947368421052,339.0,578.1052631578947,493.94736842105266,733.0,10.0
321580662,雨雨nei雨雨,YATOROGOD,7119388,Team Spirit,TSpirit,6.526315789473684,14.0,3.789473684210526,0.0,5.894736842105263,14.0,418.57894736842104,659.0,737.6315789473684,671.2105263157895,888.0,11.0
324277900,Rasmus?,Yopaj-,7732977,BOOM Esports,BOOM,8.238095238095237,23.0,3.4761904761904763,0.0,10.047619047619047,27.0,339.6190476190476,946.0,629.5714285714286,566.1428571428571,886.0,12.0
331855530,limbo,Pure,8605863,Entity,Entity,7.904761904761905,19.0,4.0476190476190474,0.0,8.571428571428571,27.0,408.57142857142856,1040.0,698.8571428571429,634.9047619047619,913.0,11.0
339235645,SHESthedefinition of a BADbitch,Pakazs,7391077,Thunder Awaken,THUNDER,10.55,22.0,3.2,0.0,10.3,27.0,386.8,686.0,800.1,699.25,933.0,11.0
352545711,"Ven, devórame otra vez",DarkMago♥,7391077,Thunder Awaken,THUNDER,9.55,23.0,3.05,0.0,13.35,33.0,284.65,406.0,728.85,595.0,802.0,9.0
375507918,LLJW,23savage,8597976,Talon,TLN,6.3,15.0,4.95,2.0,7.4,17.0,372.7,583.0,663.4,618.0,885.0,15.0
392565237,aduh,JACKBOYS,7732977,BOOM Esports,BOOM,6.761904761904762,21.0,3.2857142857142856,0.0,6.809523809523809,15.0,442.2857142857143,1058.0,669.6190476190476,651.2380952380952,970.0,12.0
401792574,UNTILTABLE MOUNTAIN,Taiga,2586976,OG,OG,3.0555555555555554,8.0,7.0,2.0,14.055555555555555,31.0,65.38888888888889,183.0,410.94444444444446,289.1111111111111,350.0,10.0
408729743,tryhardm ierdaa,Sacred,7391077,Thunder Awaken,THUNDER,5.8,15.0,5.35,1.0,16.2,35.0,213.7,327.0,596.3,460.0,625.0,11.0
431770905,想像力상상력想像力—— —— —,TORONTOTOKYO,7119388,Team Spirit,TSpirit,6.526315789473684,15.0,2.736842105263158,0.0,8.0,15.0,351.94736842105266,554.0,711.0,594.1578947368421,741.0,10.0
898754153,Bittersweet Chocolate,萧瑟,15,PSG.LGD,PSG.LGD,6.157894736842105,14.0,3.4210526315789473,0.0,6.947368421052632,21.0,390.4736842105263,605.0,754.3157894736842,681.7368421052631,959.0,16.0
